,x,y,id
0,6.8763523,-16.866116,1284069540_00000010
1,15.169268,9.011035,A-2-c-2-4-4_121
2,26.185225,0.9668741,1283949083_00000330
3,8.855291,-16.169748,128407109X_00000010
4,15.399425,10.76918,1283943999_00000050
5,10.558782,3.8608394,1283943913_00002530
6,7.5821424,20.995245,1283943425_00000210
7,9.432366,11.73011,1283943298_00000490
8,7.8921156,-3.1259217,128487513X_00000020
9,6.914174,-1.715914,A-2-c-2-2-11-8_03
10,-0.49050426,-3.3734128,1283943824_00004320
11,17.157759,8.057857,A-2-a-2-4-3_20
12,11.2838125,18.493834,A-2-b-1-2_75
13,8.348012,22.797024,A-1-f-31-4_22
14,11.51572,-0.6336253,1283944286_00001060
15,-0.2163549,-1.876373,1283949547_00002130
16,16.02129,8.148546,1283944456_00000200
17,15.139886,4.97655,A-1-f-47-1_04
18,-7.0567045,13.425293,1284285480_00000030
19,8.809696,7.5729685,A-1-f-28-1_12
20,7.2940006,11.771278,A-1-d-5-3_03
21,14.144598,7.859974,A-2-c-2-5-7_39
22,11.972336,16.229895,A-2-c-2-4-6_036
23,10.539007,-13.420742,B-1-BECH-065_01
24,13.679144,15.883407,A-2-f-2-5_18
25,15.00111,13.126712,A-2-b-2-2_14
26,8.992652,18.836199,A-2-a-2-2-5_07
27,5.429227,-3.1369195,A-3-d-2-7_02
28,15.005126,11.245762,A-2-c-2-4-4_329
29,6.5869026,-10.09761,A-2-a-2-1-5_28
30,-5.324523,2.647613,1284076636_00000010
31,10.43742,3.9232173,1284069230_00000040
32,8.809844,11.788583,A-2-a-2-1-4_10
33,12.365687,-6.546079,1283949083_00001180
34,11.718634,-3.995761,1283943824_00001920
35,6.810723,-3.0263124,1283943956_00001940
36,-4.20889,-2.3114388,1284915352_00000020
37,13.699595,17.808668,A-2-c-2-5-1_064
38,9.1791,19.644995,A-2-c-2-5-1_306
39,8.389771,22.799978,A-2-a-2-2-3_04
40,12.7136965,10.495962,A-1-d-5-9_37
41,-7.608192,0.44453478,1284261522_00000070
42,9.4950285,18.843016,A-1-d-4-2_08
43,5.929022,22.567835,A-2-b-1-1_120
44,8.159665,-12.7602215,B-1-BECH-127_03
45,23.10883,-0.5002174,1283948923_00000890
46,8.426649,-16.087715,128426310X_00000020
47,13.939966,9.142635,1283944421_00000770
48,5.2933397,0.94313514,1283943824_00000080
49,12.811141,-2.784574,1283943808_00003440
50,6.935845,21.820807,1283944316_00000630
51,7.8812275,-15.240181,1284262081_00000020
52,11.501837,-13.691695,A-1-g-1-8_04
53,14.332247,18.240143,1283944022_00000430
54,24.885435,12.838235,A-1-a-6-1_27
55,17.30565,-1.8688877,1283943492_00000200
56,18.429813,10.997731,A-2-c-2-4-4_232
57,11.03617,18.312119,1283944693_00000070
58,25.690447,-1.4671261,A-3-c-2-1_13
59,18.29557,11.22699,A-2-a-2-4-2_24
60,11.06387,-4.2906365,1283943808_00005420
61,8.174952,-0.49628034,1283948923_00000280
62,6.6527576,21.718052,A-2-b-2-1_17
63,17.139606,9.003751,A-2-c-2-2-10-4_33
64,24.58717,-0.0127044115,1283949474_00001210
